iter	Passed	Remaining
0	175	52526
1	196	29345
2	218	21611
3	240	17763
4	261	15420
5	282	13861
6	304	12744
7	328	11988
8	350	11332
9	370	10740
10	392	10321
11	416	9990
12	438	9688
13	461	9430
14	483	9195
15	507	9000
16	527	8781
17	549	8603
18	569	8426
19	590	8267
20	613	8148
21	634	8017
22	654	7885
23	675	7765
24	694	7642
25	716	7550
26	737	7455
27	757	7361
28	779	7280
29	799	7194
30	821	7124
31	841	7046
32	864	6998
33	885	6929
34	905	6856
35	928	6805
36	949	6746
37	972	6704
38	996	6666
39	1018	6621
40	1040	6573
41	1062	6524
42	1083	6475
43	1106	6435
44	1126	6386
45	1149	6347
46	1170	6298
47	1194	6269
48	1215	6223
49	1236	6180
50	1258	6143
51	1281	6111
52	1302	6069
53	1325	6037
54	1345	5995
55	1367	5956
56	1388	5918
57	1409	5879
58	1432	5851
59	1455	5823
60	1477	5788
61	1499	5754
62	1520	5719
63	1544	5694
64	1567	5666
65	1590	5639
66	1614	5614
67	1636	5583
68	1656	5546
69	1676	5509
70	1698	5477
71	1718	5442
72	1738	5406
73	1760	5375
74	1781	5345
75	1801	5309
76	1821	5276
77	1843	5247
78	1865	5217
79	1885	5186
80	1907	5158
81	1928	5126
82	1948	5094
83	1969	5065
84	1989	5033
85	2010	5003
86	2031	4972
87	2053	4946
88	2074	4918
89	2097	4895
90	2120	4871
91	2141	4840
92	2163	4814
93	2187	4793
94	2210	4769
95	2233	4745
96	2254	4718
97	2274	4687
98	2294	4658
99	2317	4634
100	2343	4617
101	2367	4596
102	2389	4571
103	2411	4543
104	2432	4517
105	2452	4489
106	2476	4466
107	2497	4440
108	2519	4415
109	2540	4387
110	2560	4358
111	2581	4332
112	2601	4305
113	2623	4280
114	2646	4256
115	2667	4231
116	2687	4203
117	2708	4178
118	2731	4154
119	2753	4130
120	2774	4104
121	2794	4077
122	2815	4051
123	2835	4024
124	2856	3999
125	2877	3973
126	2897	3947
127	2919	3923
128	2940	3897
129	2960	3871
130	2980	3844
131	3000	3818
132	3023	3796
133	3046	3774
134	3067	3749
135	3090	3726
136	3112	3702
137	3134	3679
138	3155	3655
139	3177	3631
140	3200	3608
141	3222	3585
142	3244	3562
143	3265	3537
144	3287	3514
145	3307	3488
146	3330	3466
147	3353	3443
148	3372	3418
149	3392	3392
150	3413	3368
151	3436	3346
152	3458	3322
153	3480	3299
154	3501	3275
155	3522	3251
156	3544	3228
157	3565	3204
158	3585	3179
159	3606	3155
160	3626	3130
161	3647	3107
162	3668	3083
163	3689	3059
164	3711	3036
165	3735	3015
166	3756	2991
167	3779	2969
168	3800	2945
169	3824	2924
170	3843	2899
171	3864	2875
172	3885	2852
173	3907	2829
174	3929	2806
175	3961	2790
176	3982	2767
177	4005	2745
178	4027	2722
179	4048	2699
180	4070	2676
181	4092	2653
182	4112	2629
183	4136	2607
184	4158	2584
185	4180	2561
186	4201	2538
187	4223	2515
188	4243	2492
189	4265	2469
190	4286	2446
191	4307	2423
192	4333	2402
193	4356	2380
194	4381	2359
195	4405	2337
196	4430	2316
197	4452	2293
198	4474	2270
199	4496	2248
200	4517	2224
201	4538	2201
202	4560	2178
203	4580	2155
204	4601	2132
205	4622	2109
206	4643	2085
207	4663	2062
208	4683	2039
209	4704	2016
210	4724	1992
211	4746	1970
212	4767	1947
213	4787	1924
214	4808	1901
215	4831	1878
216	4854	1856
217	4874	1833
218	4896	1811
219	4916	1787
220	4938	1765
221	4957	1741
222	4979	1719
223	4996	1695
224	5016	1672
225	5036	1649
226	5056	1626
227	5076	1603
228	5097	1580
229	5117	1557
230	5137	1534
231	5158	1511
232	5178	1489
233	5200	1466
234	5220	1443
235	5237	1420
236	5257	1397
237	5274	1374
238	5296	1351
239	5318	1329
240	5340	1307
241	5360	1284
242	5383	1262
243	5403	1240
244	5425	1217
245	5445	1195
246	5466	1172
247	5488	1150
248	5507	1127
249	5525	1105
250	5545	1082
251	5565	1060
252	5585	1037
253	5607	1015
254	5626	992
255	5645	970
256	5664	947
257	5686	925
258	5709	903
259	5727	881
260	5749	859
261	5767	836
262	5789	814
263	5807	791
264	5825	769
265	5844	747
266	5864	724
267	5882	702
268	5902	680
269	5923	658
270	5944	636
271	5963	613
272	5981	591
273	5998	569
274	6015	546
275	6036	524
276	6053	502
277	6071	480
278	6089	458
279	6109	436
280	6129	414
281	6145	392
282	6162	370
283	6180	348
284	6197	326
285	6214	304
286	6231	282
287	6247	260
288	6265	238
289	6283	216
290	6301	194
291	6320	173
292	6337	151
293	6354	129
294	6371	107
295	6389	86
296	6406	64
297	6424	43
298	6441	21
299	6458	0
